Class Peak Mean_XY_Error Min_XY_Error TP FP FN Peak_Count %_Signals_with_Peak Config
Class1 P2 6.2498197448 2.6299843423 222.0 157.0 78.0 1.32 0.9366666666666666 it1_whiskers_wavelet
Class1 P3 4.7353315311 1.4117742574 273.0 72.0 27.0 1.15 0.9633333333333334 it1_smooth_4Hz_full_concave,it1_smooth_4Hz_full_concave_d2x=0-002
Class1 P3 4.7473831549 1.4134373127 267.0 71.0 33.0 1.1266666666666667 0.9433333333333334 it1_smooth_4Hz_full_concave_tuned
Class1 P3 4.7642178469 1.4184495017 266.0 71.0 34.0 1.1233333333333333 0.94 it1_smooth_4Hz_whiskers_concave_tuned
Class1 P3 4.7675203217 1.4091005592 270.0 72.0 30.0 1.14 0.9533333333333334 it1_smooth_4Hz_whiskers_concave,it1_smooth_4Hz_whiskers_concave_d2x=0-002
Class1 P3 5.4854502511 5.3590734501 166.0 110.0 134.0 0.92 0.91 it1_smooth_3Hz_avg_curvature
Class1 P3 5.5374183043 3.4804569754 182.0 133.0 118.0 1.05 0.9366666666666666 it1_smooth_3Hz_full_hilbert
Class1 P3 5.5761977049 5.5761977049 176.0 100.0 124.0 0.92 0.92 it1_smooth_4Hz_avg_line_distance_3
Class1 P3 5.6073000612 5.083440219 204.0 115.0 96.0 1.22 0.92 it1_smooth_4Hz_avg_wavelet
Class1 P3 5.6290848264 3.6380239097 180.0 132.0 120.0 1.04 0.93 it1_smooth_3Hz_whiskers_hilbert
Class1 P3 5.6531398487 2.4037204303 237.0 80.0 63.0 1.0566666666666666 0.9 it1_smooth_3Hz_none_concave_tuned
Class2 P1 0.6494675616 0.5480434454 276.0 10.0 24.0 0.9566666666666667 0.9366666666666666 it1_avg_concave
Class2 P1 0.6920817958 0.5602844267 276.0 15.0 24.0 0.9733333333333334 0.94 it1_avg_concave_d2x=0-002
Class2 P1 1.4600239498 1.4600239498 281.0 19.0 19.0 1.0 1.0 it1_smooth_3Hz_avg_hilbert
Class2 P1 1.8900453125 1.7767078506 263.0 51.0 37.0 1.23 1.0 it1_smooth_3Hz_avg_wavelet
Class2 P1 2.0899331523 0.5863318239 272.0 50.0 28.0 1.0766666666666667 0.9266666666666666 it1_whiskers_concave
Class2 P1 2.1448678301 0.5985671943 272.0 58.0 28.0 1.1033333333333333 0.93 it1_whiskers_concave_d2x=0-002
Class2 P1 2.2986617136 2.2986617136 229.0 59.0 71.0 0.96 0.96 it1_smooth_3Hz_avg_line_distance_3
Class2 P1 2.5934253276 2.5634250151 227.0 74.0 73.0 1.0033333333333334 1.0 it1_smooth_3Hz_avg_curvature
Class2 P1 2.8962321548 2.7534430188 215.0 121.0 85.0 1.21 1.0 it1_smooth_4Hz_avg_wavelet
Class2 P1 3.100141504 3.100141504 197.0 103.0 103.0 1.0 1.0 it1_smooth_4Hz_avg_line_distance_3
Class2 P2 4.1713966429 3.2827030956 233.0 67.0 67.0 1.0 0.9433333333333334 it1_smooth_4Hz_whiskers_line_distance_3
Class2 P2 4.415798855 3.1899911172 218.0 88.0 82.0 1.02 0.93 it1_smooth_4Hz_whiskers_curvature
Class2 P2 4.4878860377 1.8924809562 259.0 105.0 41.0 1.23 0.93 it1_whiskers_hilbert
Class2 P2 5.006901838 3.6738643807 212.0 122.0 88.0 1.2033333333333334 0.93 it1_smooth_4Hz_whiskers_wavelet
Class2 P2 5.0908526932 3.2652812143 204.0 133.0 96.0 1.1933333333333334 0.93 it1_whiskers_wavelet
Class2 P2 5.4108057808 2.0942916866 256.0 110.0 44.0 1.22 0.99 it1_smooth_4Hz_full_line_distance_3
Class2 P2 5.5837114721 2.9031401001 232.0 170.0 68.0 1.34 0.9633333333333334 it1_whiskers_line_distance_3
Class2 P2 5.6380337591 2.1284805091 266.0 119.0 34.0 1.3033333333333332 0.96 it1_whiskers_concave,it1_whiskers_concave_tuned
Class2 P2 5.6616449402 2.0138968121 267.0 128.0 33.0 1.3366666666666667 0.96 it1_whiskers_concave_d2x=0-002
Class2 P2 5.9107083209 1.4758706663 273.0 163.0 27.0 1.4733333333333334 0.9666666666666667 it1_full_hilbert
Class2 P3 7.5313437145 3.5785150796 258.0 161.0 42.0 1.43 0.9566666666666667 it1_full_hilbert
Class2 P3 7.7810621695 4.097697174 255.0 160.0 45.0 1.4166666666666667 0.9566666666666667 it1_whiskers_hilbert
Class2 P3 7.812172062 4.4213734802 233.0 124.0 67.0 1.2133333333333334 0.91 it1_whiskers_concave
Class2 P3 7.8652858582 4.4213734802 233.0 134.0 67.0 1.25 0.91 it1_whiskers_concave_d2x=0-002
Class2 P3 7.9473039847 4.0110656539 236.0 129.0 64.0 1.24 0.9133333333333333 it1_full_concave
Class2 P3 8.000223935 4.0110656539 236.0 139.0 64.0 1.2766666666666666 0.9133333333333333 it1_full_concave_d2x=0-002
Class2 P3 13.22131475 7.1377471098 79.0 351.0 221.0 1.4333333333333333 0.9933333333333333 it1_smooth_3Hz_whiskers_curvature
Class2 P3 13.4419561079 4.528550306 184.0 304.0 116.0 1.6266666666666667 0.9966666666666667 it1_smooth_4Hz_whiskers_curvature
Class2 P3 13.6804402844 8.6814308156 44.0 453.0 256.0 1.6766666666666667 0.9933333333333333 it1_smooth_3Hz_whiskers_wavelet
Class2 P3 13.7113242435 6.0370680636 139.0 419.0 161.0 1.9566666666666668 0.9933333333333333 it1_smooth_4Hz_whiskers_wavelet
Class3 P1 1.3697645182 1.2324347947 277.0 14.0 23.0 1.1533333333333333 0.9466666666666667 it1_smooth_3Hz_avg_wavelet
Class3 P1 1.3754920201 1.2242394127 274.0 14.0 26.0 1.1433333333333333 0.9366666666666666 it1_smooth_3Hz_whiskers_wavelet
Class3 P1 1.3763722742 1.2261885898 276.0 14.0 24.0 1.15 0.9433333333333334 it1_smooth_3Hz_full_wavelet
Class3 P1 1.706455085 1.6141654349 288.0 15.0 12.0 1.1766666666666667 0.9933333333333333 it1_smooth_4Hz_whiskers_wavelet
Class3 P1 1.7074369132 1.6154559241 289.0 15.0 11.0 1.18 0.9966666666666667 it1_smooth_4Hz_full_wavelet
Class3 P1 1.7100797093 1.616738279 290.0 15.0 10.0 1.1866666666666668 1.0 it1_smooth_4Hz_avg_wavelet
Class3 P1 1.7153301529 1.7153301529 284.0 11.0 16.0 0.9833333333333333 0.9833333333333333 it1_smooth_3Hz_full_curvature
Class3 P1 1.7167996558 1.7167996558 282.0 11.0 18.0 0.9766666666666667 0.9766666666666667 it1_smooth_3Hz_whiskers_curvature
Class3 P1 1.719670628 1.719670628 285.0 11.0 15.0 0.9866666666666667 0.9866666666666667 it1_smooth_3Hz_avg_curvature
Class3 P1 2.2290885662 2.2290885662 261.0 36.0 39.0 0.99 0.99 it1_smooth_4Hz_full_line_distance_3
Class3 P2 1.2317465189 0.8116534701 285.0 28.0 15.0 1.05 0.9733333333333334 it1_avg_concave
Class3 P2 1.2403081674 0.8116534701 285.0 29.0 15.0 1.0533333333333332 0.9733333333333334 it1_avg_concave_d2x=0-002
Class3 P2 2.4178723751 2.3928722379 239.0 42.0 61.0 0.9366666666666666 0.9333333333333333 it1_smooth_4Hz_avg_hilbert
Class3 P2 2.4630443564 1.9795377289 281.0 42.0 19.0 1.0866666666666667 0.9766666666666667 it1_avg_hilbert
Class3 P2 2.4669314862 2.3429832689 238.0 52.0 62.0 1.0633333333333332 0.9233333333333333 it1_smooth_3Hz_avg_wavelet
Class3 P2 2.7205750883 1.8396145063 271.0 68.0 29.0 1.2633333333333334 0.9766666666666667 it1_avg_wavelet
Class3 P2 2.8594022159 2.5833599269 234.0 65.0 66.0 0.9966666666666667 0.96 it1_smooth_3Hz_avg_curvature
Class3 P2 3.0094225285 2.5051548739 240.0 84.0 60.0 1.1766666666666667 0.9766666666666667 it1_smooth_4Hz_avg_wavelet
Class3 P2 3.3613481429 2.7603183775 227.0 89.0 73.0 1.0533333333333332 0.9733333333333334 it1_smooth_4Hz_avg_curvature
Class3 P2 3.3780532079 3.3780532079 193.0 98.0 107.0 0.97 0.97 it1_smooth_4Hz_avg_line_distance_3
Class3 P3 9.3357695097 8.1961137611 201.0 140.0 99.0 1.2333333333333334 0.9366666666666666 it1_avg_wavelet
Class3 P3 10.4024980711 1.5457839584 281.0 270.0 19.0 1.8533333333333333 0.9833333333333333 it1_full_hilbert
Class3 P3 10.4191653469 1.633924463 280.0 268.0 20.0 1.8433333333333333 0.9833333333333333 it1_whiskers_hilbert
Class3 P3 10.89669283 8.0730504327 210.0 256.0 90.0 1.5533333333333332 0.9633333333333334 it1_avg_line_distance_3
Class3 P3 10.9192265272 2.7508985484 264.0 278.0 36.0 1.82 0.99 it1_full_concave_d2x=0-002
Class3 P3 10.9371846088 2.7508985484 264.0 266.0 36.0 1.7766666666666666 0.99 it1_full_concave
Class3 P3 10.9517741195 2.8653816265 263.0 276.0 37.0 1.81 0.99 it1_whiskers_concave_d2x=0-002
Class3 P3 10.9697322011 2.8653816265 263.0 264.0 37.0 1.7666666666666666 0.99 it1_whiskers_concave
Class3 P3 11.39498341 7.1893740101 232.0 478.0 68.0 2.54 0.97 it1_avg_curvature
Class3 P3 11.786363702 2.3512055694 250.0 383.0 50.0 2.2333333333333334 0.9966666666666667 it1_whiskers_wavelet
Class4 P1   0.0 0.0 0.0 1.0 1.0 it1_none_modified_scholkmann0-5
Class4 P1   0.0 0.0 0.0 1.04 1.0 it1_smooth_4Hz_none_hilbert
Class4 P1   0.0 0.0 0.0 1.15 1.0 it1_smooth_3Hz_none_hilbert
Class4 P1   0.0 0.0 0.0 1.38 1.0 it1_none_hilbert
Class4 P1   0.0 0.0 0.0 1.63 1.0 it1_none_concave,it1_none_concave_tuned
Class4 P1   0.0 0.0 0.0 2.02 1.0 it1_none_concave_d2x=0-002
Class4 P1   0.0 0.0 0.0 2.33 1.0 it1_smooth_3Hz_none_line_distance_3
Class4 P1   0.0 0.0 0.0 3.1 1.0 it1_smooth_3Hz_none_curvature
Class4 P1   0.0 0.0 0.0 3.6 1.0 it1_smooth_4Hz_none_line_distance_3
Class4 P1   0.0 0.0 0.0 3.82 1.0 it1_smooth_3Hz_none_wavelet
Class4 P2 0.3076923783 0.3076923783 89.0 2.0 11.0 0.91 0.91 it1_none_concave_tuned
Class4 P2 0.3406595839 0.2417584742 89.0 3.0 11.0 0.93 0.91 it1_whiskers_concave,it1_whiskers_concave_d2x=0-002
Class4 P2 0.3905729462 0.0808081601 98.0 10.0 2.0 1.09 0.99 it1_full_concave_d2x=0-002
Class4 P2 0.3945584127 0.0816327332 97.0 6.0 3.0 1.04 0.98 it1_full_concave
Class4 P2 0.9032262733 0.9032262733 90.0 3.0 10.0 0.93 0.93 it1_smooth_4Hz_full_concave,it1_smooth_4Hz_full_concave_d2x=0-002
Class4 P2 1.2391327819 1.2391327819 87.0 5.0 13.0 0.92 0.92 it1_smooth_3Hz_full_concave,it1_smooth_3Hz_full_concave_d2x=0-002
Class4 P2 1.4777785713 1.4777785713 86.0 4.0 14.0 0.9 0.9 it1_full_modified_scholkmann0-5
Class4 P2 1.6010297671 0.9090918403 96.0 6.0 4.0 1.02 0.99 it1_smooth_4Hz_none_concave,it1_smooth_4Hz_none_concave_d2x=0-002
Class4 P2 1.877573195 1.3367377349 92.0 7.0 8.0 0.99 0.98 it1_smooth_3Hz_none_concave,it1_smooth_3Hz_none_concave_d2x=0-002
Class4 P2 2.3369652209 2.1304426941 78.0 20.0 22.0 1.12 0.92 it1_full_wavelet
Class4 P3   0.0 0.0 0.0 1.0 1.0 it1_none_modified_scholkmann0-5
Class4 P3   0.0 0.0 0.0 1.04 1.0 it1_smooth_4Hz_none_hilbert
Class4 P3   0.0 0.0 0.0 1.15 1.0 it1_smooth_3Hz_none_hilbert
Class4 P3   0.0 0.0 0.0 1.38 1.0 it1_none_hilbert
Class4 P3   0.0 0.0 0.0 1.63 1.0 it1_none_concave,it1_none_concave_tuned
Class4 P3   0.0 0.0 0.0 2.02 1.0 it1_none_concave_d2x=0-002
Class4 P3   0.0 0.0 0.0 2.33 1.0 it1_smooth_3Hz_none_line_distance_3
Class4 P3   0.0 0.0 0.0 3.1 1.0 it1_smooth_3Hz_none_curvature
Class4 P3   0.0 0.0 0.0 3.6 1.0 it1_smooth_4Hz_none_line_distance_3
Class4 P3   0.0 0.0 0.0 3.82 1.0 it1_smooth_3Hz_none_wavelet
