Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,Percent_Signals_with_Peak
Class2,P1,concave_d2x=-0-002,3.884453781512605,0.006880673399568407,3.8844635989860126,0.6260533888797872,234.0,70.0,66,1.0133333333333334,0.7933333333333333
Class2,P1,concave_d2x=0-002,5.456572769953052,0.009367063456230411,5.456585964116915,0.8838052153341351,273.0,147.0,27,1.4033333333333333,0.9466666666666667
Class2,P1,concave_tuned,5.599715099715099,0.00784642411125781,5.5997240820864125,4.20513422817517,188.0,80.0,112,0.8933333333333333,0.78
Class2,P2,concave,7.2136824324324325,0.016683412815623983,7.213716098496379,1.4763545068448,281.0,175.0,19,1.54,0.9866666666666667
Class2,P2,concave_d2x=-0-002,5.447058823529412,0.009603522643716124,5.447071702441398,2.8470622559158176,156.0,48.0,144,0.68,0.5666666666666667
Class2,P2,concave_d2x=0-002,7.168524774774775,0.01644910499393278,7.168557934582959,1.364867666451428,282.0,185.0,18,1.5766666666666667,0.9866666666666667
Class2,P2,concave_tuned,6.298972602739726,0.01141035829181391,6.298989025599375,2.462340117655532,266.0,134.0,34,1.3533333333333333,0.9733333333333334
Class2,P3,concave,7.947080291970803,0.05249339153915995,7.947303984681317,4.011065653898019,236.0,129.0,64,1.24,0.9133333333333333
Class2,P3,concave_d2x=-0-002,10.77482269503546,0.0594956402849478,10.775033737490155,9.308681753985379,68.0,37.0,232,0.35,0.31333333333333335
Class2,P3,concave_d2x=0-002,8.0,0.05260283426619283,8.000223934954086,4.011065653898019,236.0,139.0,64,1.2766666666666666,0.9133333333333333
Class2,P4,concave_tuned,,,,,0.0,0.0,300,0.0,0.0
Class3,P1,concave,0.6981132075471698,0.001576576672541193,0.6981170276050733,0.6478004590784308,159.0,1.0,141,0.5366666666666666,0.53
Class3,P1,concave_d2x=-0-002,0.532608695652174,0.0013572225733816206,0.5326126056666086,0.48550873505905584,138.0,1.0,162,0.4633333333333333,0.46
Class3,P1,concave_d2x=0-002,0.8114583333333334,0.00167609777828145,0.8114621658147356,0.6687517223604197,159.0,7.0,141,0.5566666666666666,0.5333333333333333
Class3,P2,concave,5.103888888888889,0.014325761451137614,5.103922245968977,0.6266710521166546,297.0,149.0,3,1.4933333333333334,1.0
Class3,P2,concave_d2x=-0-002,3.721383647798742,0.009663408004469418,3.7214055516292173,1.3660509197191264,250.0,78.0,50,1.0966666666666667,0.8833333333333333
Class3,P2,concave_d2x=0-002,5.1688888888888895,0.014741963796421065,5.168923682572893,0.6266710521166546,297.0,157.0,3,1.52,1.0
Class3,P3,concave,10.937037037037038,0.04755469269726867,10.937184608824477,2.750898548392118,264.0,266.0,36,1.7766666666666666,0.99
Class3,P3,concave_d2x=-0-002,15.521739130434783,0.06206210907534776,15.521919260176832,11.952719301912158,126.0,209.0,174,1.1166666666666667,0.8433333333333334
Class3,P3,concave_d2x=0-002,10.919079685746352,0.04728566574720844,10.919226527218882,2.750898548392118,264.0,278.0,36,1.82,0.99
Class4,P1,concave,,,,,0.0,0.0,100,0.0,0.0
Class4,P1,concave_d2x=-0-002,,,,,0.0,0.0,100,0.0,0.0
Class4,P1,concave_d2x=0-002,,,,,0.0,0.0,100,0.0,0.0
Class4,P1,concave_tuned,,,,,0.0,0.0,200,0.0,0.0
Class4,P2,concave,0.3945578231292517,0.0005735153247037913,0.39455841272100534,0.08163273319923449,97.0,6.0,3,1.04,0.98
Class4,P2,concave_d2x=-0-002,0.0,0.0,0.0,0.0,32.0,0.0,68,0.32,0.32
Class4,P2,concave_d2x=0-002,0.3905723905723906,0.0005590999971703768,0.3905729462073086,0.08080816013661596,98.0,10.0,2,1.09,0.99
Class4,P2,concave_tuned,0.0,0.0,0.0,0.0,176.0,0.0,24,0.88,0.88
Class4,P3,concave,,,,,0.0,0.0,100,0.0,0.0
Class4,P3,concave_d2x=-0-002,,,,,0.0,0.0,100,0.0,0.0
Class4,P3,concave_d2x=0-002,,,,,0.0,0.0,100,0.0,0.0
Class4,P4,concave_tuned,,,,,0.0,0.0,200,0.0,0.0
