Class Peak Mean_XY_Error Min_XY_Error Peak_Count Num_Signals_in_Class Num_Signals_with_Peak Config
Class4 P2 0,279 0,179 0,970 100 95 it1_pm3_concave
Class4 P2 0,341 0,242 0,930 100 91 it1_whiskers_concave_d2x=0-002
Class4 P2 0,395 0,082 1,08 100 98 it1_full_concave_d2x=0-002
Class4 P2 0,466 0,081 1,11 100 99 it1_pm3_concave_d2x=0-002
Class4 P2 0,903 0,903 0,930 100 93 it1_smooth_4Hz_full_concave,it1_smooth_4Hz_full_concave_d2x=0-002
Class4 P2 0,965 0,909 1,000 100 99 it1_smooth_4Hz_pm3_concave,it1_smooth_4Hz_pm3_concave_d2x=0-002
Class4 P2 1,132 0,179 1,01 100 95 it1_none_concave
Class4 P2 1,239 1,239 0,920 100 92 it1_smooth_3Hz_full_concave,it1_smooth_3Hz_full_concave_d2x=0-002
Class4 P2 1,337 1,337 0,980 100 98 it1_smooth_3Hz_pm3_concave,it1_smooth_3Hz_pm3_concave_d2x=0-002
Class4 P3   0,990 100 98 it1_smooth_3Hz_none_concave,it1_smooth_3Hz_none_concave_d2x=0-002,it1_smooth_3Hz_none_concave_tuned
Class4 P3   0,990 100 99 it1_smooth_3Hz_none_modified_scholkmann0-5,it1_smooth_3Hz_none_modified_scholkmann1,it1_smooth_4Hz_none_modified_scholkmann0-5,it1_smooth_4Hz_none_modified_scholkmann1
Class4 P3   1,000 100 100 it1_none_modified_scholkmann0-5,it1_none_modified_scholkmann1
Class4 P3   1,01 100 95 it1_none_concave,it1_none_concave_tuned
Class4 P3   1,02 100 99 it1_smooth_4Hz_none_concave,it1_smooth_4Hz_none_concave_d2x=0-002,it1_smooth_4Hz_none_concave_tuned
Class4 P3   1,04 100 100 it1_smooth_4Hz_none_hilbert
Class4 P3   1,150 100 100 it1_smooth_3Hz_none_hilbert
Class4 P3   1,380 100 100 it1_none_hilbert
Class4 P3   1,470 100 100 it1_none_concave_d2x=0-002
Class4 P3   2,140 100 100 it1_smooth_3Hz_none_line_distance_8,it1_smooth_3Hz_none_line_perpendicular_8
